"Object Designation","Year Range","Potential Impacts","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2018 YH2)","2031-2120","31","1.4e-7","9.69","23.1","0.082","-5.58","-6.03","0","bK18Y02H"
"(2009 FG)","2042-2122","71","5.9e-6","9.12","25.5","0.027","-5.58","-6.03","0","bK09F00G"
"(2016 TY55)","2074-2121","31","4.2e-5","4.61","26.9","0.014","-5.58","-5.69","0","bK16T55Y"
"(2010 TW149)","2071-2107","32","6.8e-6","17.07","25.9","0.023","-5.58","-6.29","0","bK10TE9W"
"(2018 EV3)","2081-2121","13","5.0e-5","12.58","27.1","0.013","-5.59","-5.65","0","bK18E03V"
"(2023 RH2)","2092-2121","3","7.3e-7","22.19","23.9","0.056","-5.59","-5.68","0","bK23R02H"
"(2022 KK2)","2060-2122","33","1.2e-4","15.57","28.4","0.007","-5.60","-5.80","0","bK22K02K"
"(2009 BF58)","2060-2122","59","5.8e-5","6.68","27.2","0.012","-5.60","-6.03","0","bK09B58F"
"(2018 FE4)","2098-2106","4","1.5e-6","20.69","24.7","0.039","-5.60","-5.86","0","bK18F04E"
"(2020 ED)","2096-2120","7","4.3e-5","7.09","26.9","0.014","-5.61","-5.76","0","bK20E00D"
"(2021 RR14)","2089-2119","15","5.6e-5","3.09","26.9","0.014","-5.61","-5.83","0","bK21R14R"
"(2018 HW1)","2105-2122","16","1.8e-5","4.74","25.8","0.024","-5.61","-5.67","0","bK18H01W"
"(2011 FQ6)","2053-2115","32","6.6e-5","10.50","27.7","0.010","-5.61","-5.74","0","bK11F06Q"
"(2019 UT)","2099-2120","14","1.1e-4","10.90","27.9","0.009","-5.62","-5.94","0","bK19U00T"
"(2009 TD17)","2039-2121","142","3.8e-5","6.58","27.7","0.010","-5.62","-5.84","0","bK09T17D"
"(2024 BZ15)","2031-2121","29","4.2e-6","11.31","26.3","0.018","-5.62","-5.75","0","bK24B15Z"
"(2016 NK22)","2084-2122","177","4.7e-4","6.88","28.9","0.005","-5.62","-5.84","0","bK16N22K"
"(2017 UL7)","2041-2054","2","3.6e-7","16.22","24.4","0.045","-5.63","-5.71","0","bK17U07L"
"(2010 UH)","2061-2122","70","5.5e-5","6.74","27.1","0.013","-5.64","-5.86","0","bK10U00H"
"(2011 MD)","2098-2122","29","2.0e-4","1.48","28.0","0.008","-5.64","-6.18","0","bK11M00D"
"(2020 UT4)","2045-2121","36","4.3e-5","17.92","28.2","0.008","-5.64","-6.08","0","bK20U04T"
"(2006 UU17)","2099-2119","9","2.1e-5","9.77","26.4","0.018","-5.64","-5.99","0","bK06U17U"
"(2017 QF3)","2043-2121","69","3.1e-5","12.75","27.8","0.009","-5.65","-6.10","0","bK17Q03F"
"(2017 YO5)","2084-2120","26","1.8e-5","7.34","26.1","0.020","-5.66","-6.07","0","bK17Y05O"
"(2022 HO2)","2065-2072","3","2.4e-6","15.48","25.4","0.028","-5.66","-5.66","0","bK22H02O"
"(2009 WR52)","2031-2122","127","1.0e-4","5.41","28.3","0.007","-5.66","-5.91","0","bK09W52R"
"(2011 AY22)","2044-2118","34","2.9e-5","12.98","27.1","0.013","-5.67","-6.42","0","bK11A22Y"
"(2022 YE)","2066-2068","4","1.0e-6","17.24","24.8","0.038","-5.67","-6.06","0","bK22Y00E"
"(2012 LJ)","2069-2072","2","2.5e-6","18.68","25.6","0.026","-5.68","-5.69","0","bK12L00J"
"(2017 OE7)","2106-2119","6","2.6e-5","4.28","26.3","0.019","-5.68","-5.71","0","bK17O07E"
"(2020 SW5)","2110-2122","6","6.8e-6","15.79","25.8","0.023","-5.68","-5.94","0","bK20S05W"
"(2024 CZ3)","2080-2123","5","2.8e-6","8.72","24.9","0.035","-5.68","-5.69","0","bK24C03Z"
"(2007 XZ9)","2065-2118","5","1.4e-6","13.01","24.8","0.037","-5.69","-5.83","0","bK07X09Z"
"(2007 UN12)","2089-2122","27","4.0e-4","1.57","28.8","0.006","-5.69","-6.17","0","bK07U12N"
"(2010 UY7)","2066-2121","101","2.4e-4","3.87","28.5","0.007","-5.70","-6.15","0","bK10U07Y"
"(2020 FK6)","2054-2117","113","6.2e-5","13.19","28.1","0.008","-5.70","-6.70","0","bK20F06K"
"(2018 BN6)","2077-2122","40","2.4e-5","10.23","26.8","0.015","-5.70","-5.99","0","bK18B06N"
"(2017 UJ43)","2050-2116","29","5.1e-5","6.90","27.8","0.009","-5.70","-5.84","0","bK17U43J"
"(2017 FN1)","2033-2072","9","1.7e-4","17.92","30.6","0.003","-5.70","-5.78","0","bK17F01N"
"(2022 SY24)","2049-2122","131","2.1e-4","11.27","28.9","0.005","-5.71","-6.24","0","bK22S24Y"
"(2009 HW67)","2046-2079","11","2.8e-6","22.62","26.1","0.020","-5.71","-6.11","0","bK09H67W"
"(2021 LQ)","2112-2112","3","9.0e-7","24.24","24.5","0.043","-5.71","-5.81","0","bK21L00Q"
"(2006 WZ184)","2071-2121","85","1.5e-5","7.26","26.1","0.021","-5.71","-6.56","0","bK06WI4Z"
"(2011 BF40)","2083-2083","1","1.2e-6","18.50","24.8","0.037","-5.71","-5.71","0","bK11B40F"
"(2022 XX)","2082-2121","112","2.6e-4","6.37","28.7","0.006","-5.71","-6.14","0","bK22X00X"
"(2023 ES1)","2047-2122","9","4.1e-5","7.79","27.8","0.009","-5.71","-5.80","0","bK23E01S"
"(2021 XU5)","2040-2105","43","1.0e-4","19.10","29.4","0.005","-5.71","-6.05","0","bK21X05U"
"(2021 RF12)","2055-2083","6","4.0e-5","12.26","28.0","0.009","-5.71","-5.98","0","bK21R12F"
"(2021 WE6)","2076-2119","4","7.5e-6","11.41","25.8","0.023","-5.71","-6.01","0","bK21W06E"
"(2014 QC391)","2078-2122","86","6.2e-5","7.61","27.5","0.011","-5.72","-6.18","0","bK14Qd1C"
"(2019 FA)","2036-2111","60","7.2e-5","5.68","28.7","0.006","-5.72","-6.20","0","bK19F00A"
"(2012 PB20)","2089-2121","22","5.1e-6","4.03","24.9","0.035","-5.72","-6.15","0","bK12P20B"
"(2023 FH7)","2073-2120","8","1.7e-4","8.31","28.8","0.006","-5.72","-5.72","0","bK23F07H"
"(2022 SG5)","2090-2116","9","4.5e-6","24.12","26.0","0.022","-5.72","-5.95","0","bK22S05G"
"(2006 BM8)","2096-2122","32","4.3e-6","14.79","25.4","0.028","-5.73","-6.18","0","bK06B08M"
"(2020 UO4)","2105-2122","8","3.3e-4","3.22","28.6","0.006","-5.73","-5.96","0","bK20U04O"
"(2021 JY3)","2077-2121","43","1.6e-4","3.86","28.4","0.007","-5.74","-6.17","0","bK21J03Y"
"(2015 TG24)","2102-2121","82","2.5e-5","9.84","26.7","0.016","-5.74","-6.73","0","bK15T24G"
"(2020 AO1)","2049-2049","1","1.5e-7","17.02","23.7","0.062","-5.74","-5.74","0","bK20A01O"
"(2021 VB2)","2072-2083","3","9.0e-5","8.26","28.3","0.007","-5.74","-5.74","0","bK21V02B"
"(2017 YO3)","2049-2104","14","4.1e-5","8.31","28.2","0.008","-5.75","-5.81","0","bK17Y03O"
"(2015 EO)","2050-2107","14","8.5e-6","14.25","26.6","0.016","-5.75","-6.03","0","bK15E00O"
"(2019 NP5)","2106-2121","9","9.5e-5","5.09","27.6","0.010","-5.75","-5.91","0","bK19N05P"
"(2012 VS76)","2081-2120","15","1.9e-5","11.46","26.9","0.014","-5.76","-6.06","0","bK12V76S"
"(2005 SO1)","2110-2121","15","4.7e-6","12.02","25.4","0.028","-5.76","-6.24","0","bK05S01O"
"(2022 VF1)","2071-2095","2","6.1e-8","17.96","22.3","0.120","-5.76","-5.88","0","bK22V01F"
"(2017 AT20)","2028-2122","153","1.4e-5","7.57","27.1","0.013","-5.76","-6.36","0","bK17A20T"
"(2022 JV1)","2074-2122","80","6.4e-5","6.45","27.5","0.011","-5.77","-6.66","0","bK22J01V"
"(2010 TW54)","2088-2122","16","6.6e-5","7.76","27.6","0.010","-5.77","-6.13","0","bK10T54W"
"(2006 SC)","2043-2109","9","1.5e-6","12.22","25.2","0.031","-5.77","-5.90","0","bK06S00C"
"(2005 TH50)","2047-2118","37","6.9e-5","4.95","28.0","0.009","-5.78","-6.11","0","bK05T50H"
"(2022 GU3)","2109-2116","4","7.1e-6","8.40","25.6","0.026","-5.78","-5.79","0","bK22G03U"
"(2011 DS)","2065-2122","42","2.8e-5","6.54","27.0","0.013","-5.79","-6.10","0","bK11D00S"
"(2020 AW)","2061-2122","265","2.0e-4","4.55","28.7","0.006","-5.79","-6.56","0","bK20A00W"
"(2019 JR2)","2079-2122","37","2.5e-5","13.36","27.1","0.013","-5.79","-5.96","0","bK19J02R"
"(2018 BL11)","2102-2122","27","1.1e-4","11.28","28.2","0.008","-5.79","-6.09","0","bK18B11L"
"(2016 SK2)","2075-2082","3","2.3e-6","13.64","25.3","0.030","-5.79","-5.81","0","bK16S02K"
"(2022 QC1)","2103-2111","2","3.0e-6","15.58","25.3","0.030","-5.79","-5.88","0","bK22Q01C"
"(2021 UO1)","2038-2112","24","1.3e-5","18.51","28.0","0.009","-5.79","-5.97","0","bK21U01O"
"(2023 XR14)","2093-2117","28","1.1e-4","10.28","28.3","0.007","-5.79","-5.85","0","bK23X14R"
"(2016 TQ2)","2110-2120","18","1.2e-5","15.21","26.4","0.017","-5.80","-6.02","0","bK16T02Q"
"(2020 KC5)","2092-2104","3","3.6e-5","8.96","27.3","0.012","-5.80","-5.80","0","bK20K05C"
"(2021 AB4)","2078-2117","46","2.5e-5","5.90","26.8","0.015","-5.80","-6.32","0","bK21A04B"
"(2019 GD4)","2065-2122","73","5.7e-5","7.52","27.7","0.010","-5.80","-6.16","0","bK19G04D"
"(2022 OK5)","2115-2120","2","2.8e-7","18.36","23.2","0.077","-5.80","-5.83","0","bK22O05K"
"(2020 KU)","2070-2108","34","1.4e-4","6.92","28.5","0.007","-5.80","-6.08","0","bK20K00U"
"(2008 EA9)","2053-2122","160","6.1e-5","1.25","27.7","0.010","-5.81","-6.67","0","bK08E09A"
"(2016 CL18)","2033-2116","9","5.8e-7","11.88","24.0","0.054","-5.81","-6.40","0","bK16C18L"
"(2020 XG)","2081-2121","113","8.8e-5","11.11","28.1","0.008","-5.81","-6.48","0","bK20X00G"
"(2023 SM5)","2105-2122","8","1.6e-5","11.45","26.5","0.017","-5.81","-5.95","0","bK23S05M"
"(2024 AM4)","2080-2124","113","2.7e-4","1.81","28.7","0.006","-5.81","-6.54","0","bK24A04M"
"(2016 CG18)","2062-2122","102","1.6e-4","4.26","28.5","0.007","-5.82","-6.28","0","bK16C18G"
"(2020 WN5)","2068-2122","209","6.5e-5","11.60","28.0","0.009","-5.82","-6.40","0","bK20W05N"
"(2006 WV29)","2036-2120","39","6.0e-6","16.75","26.5","0.017","-5.82","-6.37","0","bK06W29V"
"(2011 BP40)","2031-2119","29","1.7e-6","3.46","25.4","0.028","-5.83","-6.25","0","bK11B40P"
"(2021 RP2)","2050-2122","427","8.0e-4","4.45","30.2","0.003","-5.83","-6.32","0","bK21R02P"
"(2023 UM4)","2115-2115","2","1.3e-5","9.25","26.3","0.019","-5.83","-5.97","0","bK23U04M"
"(2008 EV84)","2041-2041","1","7.2e-7","12.92","25.4","0.029","-5.84","-5.84","0","bK08E84V"
"(2020 LV)","2109-2122","6","5.5e-6","4.49","25.3","0.030","-5.84","-5.90","0","bK20L00V"
"(2013 RS43)","2073-2122","67","3.0e-5","5.69","27.0","0.013","-5.84","-6.42","0","bK13R43S"
"(2023 HT4)","2110-2119","5","4.6e-7","9.29","23.3","0.076","-5.84","-6.30","0","bK23H04T"
"(2023 UG4)","2081-2120","25","1.6e-5","3.93","26.4","0.017","-5.84","-6.36","0","bK23U04G"
"(2022 FP2)","2054-2121","42","6.9e-5","4.88","28.3","0.007","-5.85","-5.98","0","bK22F02P"
"(2022 LL1)","2118-2118","4","2.2e-6","24.30","25.5","0.026","-5.85","-6.00","0","bK22L01L"
"(2021 RL14)","2098-2121","15","4.4e-5","9.68","27.4","0.011","-5.85","-5.96","0","bK21R14L"
"(2021 VM22)","2090-2109","4","3.4e-5","9.11","27.4","0.011","-5.85","-5.87","0","bK21V22M"
"(2023 VZ)","2097-2108","7","1.1e-5","19.68","26.9","0.014","-5.85","-6.18","0","bK23V00Z"
"(2013 NH6)","2060-2060","2","8.6e-8","21.74","23.4","0.073","-5.86","-6.15","0","bK13N06H"
"(2016 CY135)","2103-2119","6","1.9e-6","6.74","24.5","0.043","-5.86","-6.30","0","bK16CD5Y"
"(2013 RO30)","2044-2090","6","9.8e-5","9.26","28.4","0.007","-5.86","-5.97","0","bK13R30O"
"(2007 UD6)","2058-2106","80","8.6e-5","5.99","28.3","0.007","-5.86","-6.46","0","bK07U06D"
"(2018 LR3)","2077-2122","21","1.6e-5","4.17","26.3","0.019","-5.86","-6.04","0","bK18L03R"
"(2022 QO2)","2070-2090","2","1.8e-5","17.93","27.8","0.010","-5.86","-5.88","0","bK22Q02O"
"(2023 FZ3)","2034-2034","1","9.7e-8","19.87","24.4","0.044","-5.86","-5.86","0","bK23F03Z"
"(2018 EE9)","2067-2115","21","7.5e-6","15.95","26.3","0.019","-5.86","-5.95","0","bK18E09E"
"(2019 AW2)","2072-2072","1","1.7e-6","13.73","25.3","0.029","-5.87","-5.87","0","bK19A02W"
"(2022 UT16)","2083-2120","4","2.4e-5","7.92","26.9","0.014","-5.87","-5.89","0","bK22U16T"
"(2009 HC)","2095-2114","6","2.9e-6","3.72","24.8","0.038","-5.87","-6.19","0","bK09H00C"
"(2023 JV)","2092-2121","5","1.3e-6","14.35","24.6","0.041","-5.87","-5.95","0","bK23J00V"
"(2020 UX4)","2074-2112","8","6.1e-6","7.67","25.8","0.024","-5.88","-6.00","0","bK20U04X"
"(2019 NO2)","2102-2117","5","9.7e-5","8.72","28.3","0.008","-5.88","-5.88","0","bK19N02O"
"(2007 TL16)","2074-2092","15","6.6e-6","11.42","26.2","0.019","-5.88","-6.15","0","bK07T16L"
"(2017 WL15)","2058-2114","13","2.7e-6","18.01","25.8","0.023","-5.89","-6.38","0","bK17W15L"
"(2012 BU1)","2069-2121","34","4.8e-5","8.96","27.7","0.010","-5.89","-6.38","0","bK12B01U"
"(2020 WD)","2055-2120","15","1.0e-4","5.69","28.2","0.008","-5.89","-6.13","0","bK20W00D"
"(2016 GK2)","2092-2122","19","4.9e-5","9.12","27.8","0.009","-5.89","-6.15","0","bK16G02K"
"(2014 OM207)","2089-2108","5","2.4e-4","8.20","29.1","0.005","-5.89","-5.90","0","bK14OK7M"
"(2017 RC)","2084-2121","63","6.6e-5","9.85","27.9","0.009","-5.89","-6.44","0","bK17R00C"
"(2023 KZ2)","2115-2123","3","1.0e-5","10.91","26.2","0.019","-5.89","-5.89","0","bK23K02Z"
"(2009 TU)","2086-2120","13","1.9e-5","15.15","27.4","0.011","-5.90","-6.45","0","bK09T00U"
"(2015 ET)","2076-2120","14","1.1e-5","11.67","26.7","0.016","-5.90","-6.36","0","bK15E00T"
"(2020 UK2)","2082-2121","13","2.1e-5","7.61","26.9","0.014","-5.91","-6.31","0","bK20U02K"
"(2021 XY3)","2067-2074","4","5.7e-6","16.90","26.7","0.016","-5.91","-6.07","0","bK21X03Y"
"(2022 BT)","2080-2122","302","5.6e-4","3.81","29.8","0.004","-5.91","-6.19","0","bK22B00T"
"(2022 CS)","2072-2075","3","2.8e-6","14.47","25.9","0.022","-5.92","-6.01","0","bK22C00S"
"(2013 GA55)","2070-2122","37","4.8e-5","9.34","27.7","0.010","-5.92","-6.08","0","bK13G55A"
"(2020 YB1)","2073-2120","36","1.2e-5","11.79","26.8","0.015","-5.92","-6.27","0","bK20Y01B"
"(2018 RB2)","2089-2119","57","2.8e-5","9.06","27.3","0.012","-5.93","-6.23","0","bK18R02B"
"(2022 TW2)","2070-2122","176","1.4e-4","3.99","28.5","0.007","-5.93","-6.55","0","bK22T02W"
"(2018 BD)","2032-2097","10","6.9e-5","8.89","30.1","0.003","-5.93","-5.93","0","bK18B00D"
"(2023 HM4)","2118-2118","1","7.8e-5","1.17","27.7","0.010","-5.93","-5.93","0","bK23H04M"
"(2023 TM3)","2082-2121","30","1.6e-5","11.28","26.9","0.014","-5.93","-6.42","0","bK23T03M"
"(2014 FX32)","2076-2108","2","1.6e-6","9.05","25.1","0.033","-5.94","-5.94","0","bK14F32X"
"(2007 EO88)","2073-2111","22","8.7e-6","10.95","26.4","0.018","-5.94","-6.47","0","bK07E88O"
"(2015 MN11)","2081-2105","3","4.2e-7","21.07","24.5","0.042","-5.94","-5.96","0","bK15M11N"
"(2022 DT4)","2099-2118","6","9.3e-6","7.31","26.2","0.019","-5.94","-6.01","0","bK22D04T"
"(2023 RO1)","2070-2123","24","5.2e-6","12.77","26.0","0.021","-5.94","-6.31","0","bK23R01O"
"(2023 YO1)","2078-2115","3","9.6e-6","2.72","25.9","0.022","-5.94","-5.98","0","bK23Y01O"
"(2018 RH3)","2108-2108","1","8.4e-6","8.32","26.1","0.020","-5.95","-5.95","0","bK18R03H"
"(2020 FZ2)","2110-2122","10","1.2e-6","22.32","25.1","0.032","-5.95","-6.21","0","bK20F02Z"
"(2016 JB29)","2090-2117","3","1.5e-6","8.57","24.7","0.039","-5.95","-6.02","0","bK16J29B"
"(2022 AP1)","2059-2107","16","5.1e-5","10.48","28.4","0.007","-5.96","-6.10","0","bK22A01P"
"(2019 SC)","2051-2051","1","6.1e-6","14.26","27.2","0.012","-5.96","-5.96","0","bK19S00C"
"(2019 BZ)","2077-2122","42","3.1e-5","8.62","27.6","0.010","-5.96","-6.20","0","bK19B00Z"
"(2021 AX6)","2062-2120","11","9.9e-6","7.13","26.9","0.014","-5.97","-6.01","0","bK21A06X"
"(2013 BR27)","2067-2112","61","2.9e-5","10.95","27.7","0.010","-5.97","-6.39","0","bK13B27R"
"(2014 AD16)","2087-2121","5","2.5e-5","8.33","27.4","0.011","-5.97","-5.98","0","bK14A16D"
"(2019 RT3)","2080-2118","11","2.5e-6","7.62","25.2","0.031","-5.97","-6.24","0","bK19R03T"
"(2010 UC7)","2104-2118","11","1.3e-6","13.40","24.7","0.039","-5.97","-6.52","0","bK10U07C"
"(2017 UA45)","2099-2121","11","8.7e-6","5.42","25.9","0.022","-5.98","-6.15","0","bK17U45A"
"(2009 HS44)","2111-2111","1","6.7e-6","18.29","26.6","0.017","-5.98","-5.98","0","bK09H44S"
"(2005 TM173)","2027-2088","6","6.3e-8","9.36","23.9","0.055","-5.98","-6.04","0","bK05TH3M"
"(2021 EO)","2089-2122","10","3.0e-6","7.45","25.1","0.032","-5.98","-6.53","0","bK21E00O"
"(2023 JK)","2096-2102","3","1.4e-6","9.87","24.8","0.037","-5.98","-6.08","0","bK23J00K"
"(2023 VF4)","2118-2122","5","4.8e-6","12.23","25.8","0.024","-5.98","-6.28","0","bK23V04F"
"(2023 SL5)","2058-2119","32","4.7e-5","13.31","28.7","0.006","-5.98","-6.36","0","bK23S05L"
"(2024 AH3)","2053-2123","22","2.9e-6","10.42","25.6","0.025","-5.98","-6.61","0","bK24A03H"
"(2021 RM10)","2057-2104","8","1.8e-6","11.06","25.4","0.029","-5.99","-6.31","0","bK21R10M"
"(2022 HB2)","2079-2123","12","2.1e-5","7.97","27.3","0.012","-5.99","-6.20","0","bK22H02B"
"(2023 NQ1)","2120-2120","1","1.2e-7","23.30","23.1","0.081","-5.99","-5.99","0","bK23N01Q"
"(2024 BJ3)","2077-2105","12","2.8e-6","17.53","26.0","0.021","-5.99","-6.53","0","bK24B03J"
"(2011 WN69)","2086-2109","6","3.1e-6","23.08","26.2","0.020","-6.00","-6.24","0","bK11W69N"
"(2023 FU6)","2078-2119","16","1.6e-5","9.82","27.0","0.014","-6.00","-6.31","0","bK23F06U"